Результаты сканирования портов для хоста: 192.168.1.1
Время сканирования: 2025-12-24 21:25:58
============================================================
Порт   622: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   621: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   620: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   619: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   618: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   617: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   616: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   615: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   614: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   613: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   612: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   611: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   610: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   609: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
