Результаты сканирования портов для хоста: 192.168.1.1
Время сканирования: 2025-12-24 21:20:46
============================================================
Порт   141: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   140: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   139: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   138: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   137: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   136: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   135: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   134: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   133: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   132: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   131: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   130: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   129: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   128: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт   127: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   126: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   125: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   124: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт   123: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт   122: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт   121: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   120: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт   119: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт   118: CLOSED     | Сервис: Unknown         | Время: 2.001 сек
Порт   117: CLOSED     | Сервис: Unknown         | Время: 2.001 сек
Порт   116: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт   115: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт   114: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   113: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт   112: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт   111: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   110: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   109: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   108: CLOSED     | Сервис: Unknown         | Время: 2.003 сек
Порт   107: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   106: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   105: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   104: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   103: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт   102: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт   101: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт   100: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт    99: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт    98: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт    97: CLOSED     | Сервис: Unknown         | Время: 2.006 сек
Порт    96: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт    95: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт    94: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт    93: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт    92: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт    91: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт    90: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт    89: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт    88: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт    87: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт    86: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт    85: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт    84: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт    83: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
