Результаты сканирования портов для хоста: 192.168.1.1
Время сканирования: 2025-12-24 21:52:11
============================================================
Порт  3047: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт  3046: CLOSED     | Сервис: Unknown         | Время: 2.004 сек
Порт  3045: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3044: CLOSED     | Сервис: Unknown         | Время: 2.005 сек
Порт  3043: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт  3042: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт  3041: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт  3040: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3039: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3038: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт  3037: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт  3036: CLOSED     | Сервис: Unknown         | Время: 2.007 сек
Порт  3035: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт  3034: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3033: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт  3032: CLOSED     | Сервис: Unknown         | Время: 2.008 сек
Порт  3031: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3030: CLOSED     | Сервис: Unknown         | Время: 2.009 сек
Порт  3029: CLOSED     | Сервис: Unknown         | Время: 2.010 сек
Порт  3028: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт  3027: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт  3026: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт  3025: CLOSED     | Сервис: Unknown         | Время: 2.012 сек
Порт  3024: CLOSED     | Сервис: Unknown         | Время: 2.011 сек
Порт  3023: CLOSED     | Сервис: Unknown         | Время: 2.014 сек
Порт  3022: CLOSED     | Сервис: Unknown         | Время: 2.015 сек
Порт  3021: CLOSED     | Сервис: Unknown         | Время: 2.013 сек
Порт  3020: CLOSED     | Сервис: Unknown         | Время: 2.001 сек
Порт  3019: CLOSED     | Сервис: Unknown         | Время: 2.001 сек
Порт  3018: CLOSED     | Сервис: Unknown         | Время: 2.001 сек
Порт  3017: CLOSED     | Сервис: Unknown         | Время: 2.001 сек
Порт  3016: CLOSED     | Сервис: Unknown         | Время: 2.001 сек
Порт  3015: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт  3014: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт  3013: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
Порт  3012: CLOSED     | Сервис: Unknown         | Время: 2.016 сек
Порт  3011: CLOSED     | Сервис: Unknown         | Время: 2.000 сек
Порт  3010: CLOSED     | Сервис: Unknown         | Время: 2.000 сек
Порт  3009: CLOSED     | Сервис: Unknown         | Время: 2.002 сек
